Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,45 to 54,Male,Knife or Sharp Implement,No,Jan 2003,Murder,Solved,Wandsworth,White
1,0 to 12,Female,"Physical Assault, no weapon",No,Jan 2003,Murder,Solved,Richmond Upon Thames,White
1,20 to 24,Male,Knife or Sharp Implement,No,Jan 2003,Murder,Solved,Hillingdon,Asian
1,55 to 64,Male,Not known/Not Recorded,No,Jan 2003,Murder,Solved,Lambeth,Black
1,35 to 44,Female,Not known/Not Recorded,No,Jan 2003,Murder,Solved,Camden,White
1,25 to 34,Female,Not known/Not Recorded,No,Jan 2003,Murder,Solved,Camden,White
1,25 to 34,Female,Not known/Not Recorded,No,Jan 2003,Murder,Solved,Camden,White
1,25 to 34,Male,Knife or Sharp Implement,No,Jan 2003,Murder,Solved,Ealing,Black
1,35 to 44,Male,Knife or Sharp Implement,No,Jan 2003,Murder,Solved,Ealing,White
1,45 to 54,Male,Knife or Sharp Implement,No,Jan 2003,Murder,Solved,Haringey,White
1,35 to 44,Female,"Physical Assault, no weapon",No,Jan 2003,Murder,Solved,Croydon,White
1,20 to 24,Female,"Physical Assault, no weapon",Yes,Jan 2003,Murder,Solved,Tower Hamlets,White
1,20 to 24,Male,Knife or Sharp Implement,No,Jan 2003,Murder,Solved,Waltham Forest,Asian
1,45 to 54,Male,Other Method of Killing,No,Jan 2003,Murder,Unsolved,Newham,Asian
1,65 and over,Female,Blunt Implement,No,Jan 2003,Murder,Solved,Westminster,White
1,25 to 34,Female,Other Method of Killing,No,Jan 2003,Murder,Solved,Hammersmith & Fulham,Asian
1,20 to 24,Female,"Physical Assault, no weapon",No,Jan 2003,Murder,Solved,Westminster,White
1,25 to 34,Male,Knife or Sharp Implement,No,Jan 2003,Murder,Solved,Westminster,White
1,13 to 19,Female,Not known/Not Recorded,No,Feb 2003,Murder,Solved,Richmond Upon Thames,White
1,35 to 44,Male,Shooting,No,Feb 2003,Murder,Unsolved,Lambeth,Black
1,45 to 54,Female,Other Method of Killing,No,Feb 2003,Murder,Unsolved,Lambeth,Black
1,25 to 34,Male,Knife or Sharp Implement,No,Feb 2003,Murder,Solved,Merton,White
1,25 to 34,Male,Knife or Sharp Implement,No,Feb 2003,Murder,Solved,Camden,Black
1,65 and over,Female,Not known/Not Recorded,No,Feb 2003,Murder,Unsolved,Ealing,White
1,65 and over,Female,Other Method of Killing,No,Feb 2003,Murder,Solved,Ealing,White
1,35 to 44,Female,Knife or Sharp Implement,Yes,Feb 2003,Murder,Solved,Haringey,Black
1,35 to 44,Male,Shooting,No,Feb 2003,Murder,Solved,Haringey,Black
1,20 to 24,Male,Other Method of Killing,No,Feb 2003,Murder,Solved,Haringey,White
1,25 to 34,Female,Knife or Sharp Implement,No,Feb 2003,Murder,Unsolved,Tower Hamlets,White
1,55 to 64,Male,Other Method of Killing,No,Feb 2003,Murder,Solved,Barking & Dagenham,White
1,65 and over,Female,Knife or Sharp Implement,No,Feb 2003,Murder,Solved,Barking & Dagenham,White
1,20 to 24,Female,"Physical Assault, no weapon",No,Feb 2003,Murder,Solved,Newham,Asian
1,13 to 19,Male,Knife or Sharp Implement,No,Feb 2003,Murder,Unsolved,Hammersmith & Fulham,Black
1,55 to 64,Male,Other Method of Killing,No,Feb 2003,Manslaughter,Solved,Westminster,White
1,65 and over,Female,Other Method of Killing,No,Mar 2003,Murder,Unsolved,Lambeth,Black
1,13 to 19,Male,Shooting,No,Mar 2003,Murder,Unsolved,Lambeth,Black
1,45 to 54,Male,Knife or Sharp Implement,No,Mar 2003,Murder,Solved,Brent,Asian
1,25 to 34,Male,Shooting,No,Mar 2003,Murder,Solved,Brent,Black
1,45 to 54,Male,Other Method of Killing,No,Mar 2003,Murder,Solved,Barnet,White
1,35 to 44,Male,Shooting,No,Mar 2003,Murder,Solved,Haringey,Black
1,13 to 19,Male,Knife or Sharp Implement,No,Mar 2003,Murder,Solved,Haringey,Black
1,25 to 34,Female,Shooting,No,Mar 2003,Murder,Solved,Haringey,Black
1,65 and over,Female,Other Method of Killing,No,Mar 2003,Murder,Solved,Southwark,White
1,45 to 54,Female,Knife or Sharp Implement,Yes,Mar 2003,Murder,Solved,Southwark,Black
1,20 to 24,Female,Knife or Sharp Implement,Yes,Mar 2003,Murder,Solved,Southwark,Black
1,25 to 34,Male,Knife or Sharp Implement,No,Mar 2003,Murder,Solved,Greenwich,White
1,35 to 44,Male,Knife or Sharp Implement,No,Mar 2003,Murder,Solved,Greenwich,White
1,25 to 34,Female,Shooting,No,Mar 2003,Murder,Solved,Bexley,Asian
1,20 to 24,Male,Knife or Sharp Implement,No,Mar 2003,Murder,Solved,Tower Hamlets,Black
1,20 to 24,Male,Shooting,No,Mar 2003,Murder,Unsolved,Redbridge,Asian
1,45 to 54,Male,Shooting,No,Mar 2003,Murder,Solved,Waltham Forest,White
1,20 to 24,Male,Knife or Sharp Implement,No,Mar 2003,Murder,Solved,Waltham Forest,Black
1,20 to 24,Female,Blunt Implement,No,Mar 2003,Murder,Solved,Redbridge,White
1,20 to 24,Female,"Physical Assault, no weapon",No,Mar 2003,Murder,Solved,Westminster,White
1,45 to 54,Male,Other Method of Killing,No,Apr 2003,Murder,Unsolved,Lambeth,White
1,25 to 34,Male,Shooting,No,Apr 2003,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,No,Apr 2003,Murder,Unsolved,Brent,Black
1,25 to 34,Male,Shooting,No,Apr 2003,Murder,Solved,Brent,Black
1,20 to 24,Male,Knife or Sharp Implement,No,Apr 2003,Murder,Solved,Harrow,White
1,25 to 34,Male,Shooting,No,Apr 2003,Murder,Unsolved,Islington,Black
1,20 to 24,Male,Knife or Sharp Implement,No,Apr 2003,Murder,Solved,Haringey,White
1,65 and over,Male,Blunt Implement,Yes,Apr 2003,Murder,Solved,Southwark,White
1,35 to 44,Female,Knife or Sharp Implement,Yes,Apr 2003,Murder,Solved,Bromley,White
1,35 to 44,Male,Knife or Sharp Implement,No,Apr 2003,Murder,Solved,Croydon,White
1,25 to 34,Male,Other Method of Killing,No,Apr 2003,Murder,Solved,Tower Hamlets,Asian
1,25 to 34,Male,Knife or Sharp Implement,Yes,Apr 2003,Murder,Solved,Barking & Dagenham,White
1,20 to 24,Male,Knife or Sharp Implement,No,Apr 2003,Murder,Solved,Newham,Asian
1,35 to 44,Male,Knife or Sharp Implement,Yes,Apr 2003,Murder,Solved,Westminster,White
1,25 to 34,Female,"Physical Assault, no weapon",Yes,May 2003,Murder,Solved,Hillingdon,White
1,45 to 54,Male,Not known/Not Recorded,No,May 2003,Murder,Solved,Hounslow,Asian
1,35 to 44,Male,Knife or Sharp Implement,No,May 2003,Murder,Solved,Brent,Black
