borough,recorded_year,n_victims,population,homicide_rate_per_100k
Barnet,2003,3,321802,0.9322502656913257
Barnet,2004,1,323723,0.308906070931012
Barnet,2005,8,327541,2.442442320198082
Barnet,2006,4,330801,1.2091861874661805
Barnet,2007,3,334837,0.895958331964508
Barnet,2008,4,339212,1.1792035659115832
Barnet,2009,1,345829,0.2891602497187916
Barnet,2010,8,351438,2.2763616911091002
Barnet,2011,4,357653,1.1184024739062721
Barnet,2013,3,369203,0.8125611113669174
Barnet,2014,5,375030,1.3332266751993174
Barnet,2015,2,379806,0.5265846247821256
Barnet,2016,5,386198,1.2946726808528268
Barnet,2017,5,391446,1.2773153896067402
Barnet,2018,5,397049,1.259290415036935
Barnet,2019,5,402363,1.242658992004732
Barnet,2020,3,407148,0.7368327979015002
Bexley,2003,1,220016,0.4545123990982474
Bexley,2004,2,220917,0.9053173816410688
Bexley,2005,2,222391,0.899316968762225
Bexley,2006,3,223280,1.3436044428520244
Bexley,2007,1,224625,0.4451864218141347
Bexley,2008,5,226652,2.2060250957414893
Bexley,2009,4,228146,1.7532632612449923
Bexley,2011,5,233002,2.145904327001485
Bexley,2012,2,234499,0.8528821018426519
Bexley,2014,2,240093,0.8330105417484058
Bexley,2015,2,242370,0.825184635062095
Bexley,2016,5,244988,2.0409162897774586
Bexley,2018,1,249999,0.40000160000640006
Bexley,2019,2,252885,0.7908733218656702
Bexley,2020,3,254970,1.1766090128250382
Brent,2003,11,268323,4.099536752346984
Brent,2004,15,268335,5.590027391134217
Brent,2005,12,270939,4.429041223301185
Brent,2006,6,276504,2.169950525128027
Brent,2007,2,283273,0.7060326963741691
Brent,2008,9,290901,3.0938360473150657
Brent,2009,6,298118,2.0126258729764723
Brent,2010,6,304785,1.9686008169693392
Brent,2011,4,313084,1.2776123979507097
Brent,2012,5,315499,1.58479107699232
Brent,2013,3,318103,0.943090759911098
Brent,2014,5,321601,1.5547215338260765
Brent,2015,10,324851,3.078334374836463
Brent,2016,7,329093,2.127058308745552
Brent,2017,7,332750,2.1036814425244175
Brent,2018,3,336859,0.8905803318302317
Brent,2019,7,340710,2.0545331807108687
Brent,2020,10,343853,2.9082195007750404
Bromley,2003,1,297253,0.3364137620141765
Bromley,2004,4,297307,1.345410636143784
Bromley,2005,1,299421,0.33397791070098626
Bromley,2006,3,300963,0.9968002711296738
Bromley,2007,7,302625,2.313093762907889
Bromley,2008,2,304968,0.6558065108470397
Bromley,2009,4,306924,1.3032542258018271
Bromley,2011,3,311110,0.9642891581755649
Bromley,2012,3,314592,0.9536161122978334
Bromley,2013,2,318455,0.6280322180527861
Bromley,2014,1,321834,0.3107191906386522
Bromley,2017,1,330909,0.3021978852191992
Bromley,2018,3,332733,0.9016238245079388
Bromley,2019,1,334292,0.2991396742967226
Bromley,2020,2,336395,0.594539157835283
Camden,2003,5,204254,2.4479324762305756
Camden,2004,4,207341,1.9291891135858321
Camden,2005,21,211088,9.94845751534905
Camden,2006,11,211032,5.212479623943288
Camden,2007,4,211520,1.8910741301059
